tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037408005,128260,1739,Above Moderate Income,No,No,No,District 1,City of West Covina,SPA 3 - San Gabriel,6183,39705386.8642578,26695.9841366722
06037408006,91875,1066,Low Income,Yes,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6184,35671275.7607422,25331.5075352901
06037408133,98841,1731,Low Income,No,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6185,11451613.4208984,17531.2403531023
06037408134,111667,860,Moderate Income,No,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6186,9391676.95507812,12118.1658311092
06037408135,87023,1369,Low Income,Yes,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6187,12112464.0771484,17385.4776262749
06037408136,122813,1011,Above Moderate Income,No,No,No,District 1,City of West Covina,SPA 3 - San Gabriel,6188,10811237.0097656,16953.0620035282
06037408137,90385,1420,Low Income,Yes,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6189,9039334.9375,14124.3775220183
06037408138,90764,1246,Low Income,Yes,No,Yes,District 1,Unincorporated - San Jose Hills,SPA 3 - San Gabriel,6190,9710533.65136719,16122.8322205486
06037408139,104861,843,Low Income,No,No,Yes,District 1,Unincorporated - San Jose Hills,SPA 3 - San Gabriel,6191,8478988.30566406,13014.629646343
06037408140,74663,793,Low Income,Yes,Yes,Yes,District 1,Unincorporated - San Jose Hills,SPA 3 - San Gabriel,6192,9852174.77734375,13150.9719483575
06037408141,98824,1010,Low Income,No,No,Yes,District 1,Unincorporated - San Jose Hills,SPA 3 - San Gabriel,6193,11978519.3193359,17054.0305220855
06037408212,74425,1379,Low Income,Yes,Yes,Yes,District 1,Unincorporated - Rowland Heights,SPA 3 - San Gabriel,6194,30721179.5205078,22583.0571980264
06037408213,74028,1792,Low Income,Yes,Yes,Yes,District 1,Unincorporated - Rowland Heights,SPA 3 - San Gabriel,6195,16529677.1513672,20672.7134163532
06037408301,82978,1505,Low Income,Yes,Yes,Yes,District 1,Unincorporated - Avocado Heights,SPA 3 - San Gabriel,6196,29130110.0947266,30399.5591654467
06037408302,79412,1022,Low Income,Yes,Yes,Yes,District 1,Unincorporated - North Whittier,SPA 3 - San Gabriel,6197,36734534.7548828,31927.5963435863
