CT10,TractSNAP,Pop2010
920030.0,114.0,5818.0
920037.0,441.0,7131.0
920041.0,66.0,2871.0
920031.0,107.0,5301.0
920111.0,7.0,3246.0
920112.0,35.0,4287.0
920012.0,32.0,1072.0
920011.0,0.0,286.0
910812.0,0.0,464.0
910811.0,0.0,305.0
901213.0,21.0,3553.0
901209.0,42.0,1633.0
900602.0,142.0,5214.0
900504.0,66.0,5816.0
900606.0,180.0,3721.0
900605.0,243.0,7100.0
920108.0,37.0,3439.0
920106.0,109.0,3110.0
920107.0,34.0,3954.0
920109.0,48.0,4493.0
920331.0,52.0,4075.0
920110.0,0.0,5010.0
910804.0,45.0,3295.0
910709.0,20.0,1650.0
920033.0,13.0,515.0
920040.0,75.0,3352.0
920013.0,31.0,4306.0
920039.0,7.0,1896.0
106010.0,55.0,3152.0
930101.0,0.0,119.0
920339.0,61.0,7377.0
900607.0,119.0,3904.0
900704.0,139.0,3050.0
900703.0,139.0,4375.0
900701.0,207.0,5289.0
900705.0,71.0,4285.0
900804.0,162.0,3489.0
900806.0,172.0,3620.0
900900.0,27.0,3813.0
901003.0,0.0,6188.0
920026.0,0.0,419.0
920043.0,33.0,5711.0
910810.0,25.0,2765.0
920032.0,23.0,2897.0
920036.0,70.0,3419.0
920029.0,58.0,3574.0
920020.0,58.0,6954.0
920322.0,18.0,2895.0
139504.0,150.0,3476.0
139503.0,198.0,4657.0
139401.0,98.0,2645.0
137103.0,118.0,4199.0
134905.0,75.0,2819.0
134522.0,281.0,3954.0
135114.0,136.0,4445.0
135113.0,56.0,2795.0
134903.0,172.0,4216.0
134521.0,127.0,3126.0
131701.0,268.0,4541.0
128801.0,41.0,3307.0
127712.0,72.0,2991.0
127606.0,105.0,3164.0
127604.0,48.0,2939.0
120108.0,357.0,4838.0
106645.0,45.0,3389.0
120107.0,314.0,3818.0
120106.0,227.0,4417.0
120104.0,125.0,2310.0
120103.0,215.0,3287.0
119342.0,126.0,3180.0
119341.0,66.0,2719.0
117408.0,221.0,2830.0
117407.0,287.0,3636.0
117201.0,181.0,4352.0
117102.0,78.0,2631.0
117101.0,169.0,4796.0
800506.0,0.0,3074.0
800504.0,21.0,2497.0
800410.0,0.0,3627.0
800408.0,0.0,7122.0
800406.0,22.0,2644.0
800332.0,0.0,6665.0
800330.0,4.0,942.0
800329.0,52.0,6421.0
267404.0,13.0,2806.0
113237.0,49.0,3661.0
111205.0,23.0,3375.0
108202.0,13.0,4895.0
106649.0,63.0,2853.0
106646.0,31.0,3237.0
800327.0,14.0,5305.0
702102.0,129.0,6306.0
702002.0,199.0,5700.0
701902.0,125.0,4016.0
127805.0,156.0,3768.0
127605.0,202.0,3549.0
120105.0,90.0,2812.0
115103.0,0.0,2776.0
113235.0,42.0,1602.0
980024.0,4.0,186.0
980023.0,0.0,8.0
980022.0,0.0,4.0
701402.0,24.0,6696.0
320201.0,312.0,3756.0
701304.0,27.0,6374.0
108201.0,13.0,5551.0
265202.0,0.0,3611.0
264102.0,10.0,2873.0
800203.0,17.0,5643.0
262704.0,18.0,3567.0
113422.0,131.0,6057.0
119202.0,122.0,4707.0
119201.0,197.0,4137.0
117202.0,21.0,2471.0
115404.0,90.0,2913.0
115403.0,111.0,3188.0
115104.0,40.0,4444.0
113102.0,0.0,2828.0
113101.0,59.0,3558.0
111206.0,25.0,4490.0
109604.0,22.0,2975.0
109603.0,122.0,4252.0
106648.0,156.0,3890.0
106408.0,150.0,3463.0
106405.0,116.0,3966.0
106643.0,39.0,4320.0
134306.0,147.0,3498.0
127220.0,210.0,4931.0
127300.0,169.0,4460.0
127400.0,352.0,5818.0
127910.0,158.0,4769.0
128210.0,354.0,4822.0
128400.0,98.0,4114.0
134104.0,127.0,4322.0
131400.0,155.0,5897.0
131800.0,135.0,5341.0
132300.0,372.0,6494.0
127210.0,207.0,5531.0
262301.0,0.0,2744.0
108104.0,6.0,1698.0
701202.0,17.0,3268.0
278102.0,8.0,3158.0
980008.0,0.0,145.0
141500.0,0.0,2984.0
271400.0,0.0,3391.0
271300.0,106.0,4506.0
271200.0,64.0,2525.0
