Census_Tra,TRACT,UHII,DegHourDay,FIPS,Pop2012_km,FID_,X,Y,x1,y1,Pop_km_2,SymbolID
2233,400402,27098.9,148.895054945,6037400402,936.661417144,903,242935.484,-307441.094,39.978,66.52,936.7,
2234,400403,30329.0,166.642857143,6037400403,291.677960434,904,245479.422,-306469.344,40.826,66.844,291.7,
2235,400404,30755.8,168.987912088,6037400404,302.068023265,905,242824.375,-304726.781,39.941,67.424,302.1,
2236,400501,27212.8,149.520879121,6037400501,207.96224068,906,239190.641,-304977.031,38.73,67.341,208.0,
2237,400602,23624.4,129.804395604,6037400602,3124.53918502,907,235205.266,-307413.969,37.402,66.529,3124.5,
2238,400603,26020.9,142.971978022,6037400603,600.189414518,908,233904.797,-305907.719,36.968,67.031,600.2,
2239,400604,25839.4,141.974725275,6037400604,650.239321814,909,236324.391,-305785.719,37.775,67.071,650.2,
2240,400800,24169.1,132.797252747,6037400800,1574.19997315,910,237095.516,-307427.625,38.032,66.524,1574.2,
2241,400900,24409.1,134.115934066,6037400900,2165.05070316,911,238144.031,-307589.125,38.381,66.47,2165.1,
2242,401001,26171.6,143.8,6037401001,2259.19666461,912,240313.969,-306916.438,39.105,66.695,2259.2,
2243,401002,25402.2,139.572527473,6037401002,2812.1625627,913,239123.953,-306958.344,38.708,66.681,2812.2,
2244,401101,24520.9,134.73021978,6037401101,1945.02050516,914,240198.328,-308608.844,39.066,66.13,1945.0,
2245,401102,24516.8,134.707692308,6037401102,2494.48625937,915,239093.203,-308102.25,38.698,66.299,2494.5,
2246,401201,24984.2,137.275824176,6037401201,1361.9513904,916,242010.766,-308756.625,39.67,66.081,1362.0,
2247,401202,23613.8,129.746153846,6037401202,1371.4327895,917,242133.938,-309933.625,39.711,65.689,1371.4,
2248,401203,23158.6,127.245054945,6037401203,2866.56999229,918,240216.531,-310136.813,39.072,65.621,2866.6,
2249,401303,20882.7,114.74010989,6037401303,383.538192124,919,244467.234,-314328.188,40.489,64.224,383.5,
2250,401304,21722.6,119.354945055,6037401304,513.270106461,920,244228.859,-312951.219,40.41,64.683,513.3,
2251,401311,24139.8,132.636263736,6037401311,1597.99300924,921,243904.766,-310109.938,40.302,65.63,1598.0,
2252,401312,22450.8,123.356043956,6037401312,2067.00349824,922,242625.672,-311505.563,39.875,65.165,2067.0,
2253,401500,24827.2,136.413186813,6037401500,1546.91136738,923,247312.313,-311402.438,41.437,65.199,1546.9,
2254,401601,27998.2,153.836263736,6037401601,2012.47894376,924,248448.906,-309303.031,41.816,65.899,2012.5,
2255,401602,26225.0,144.093406593,6037401602,2773.18184588,925,248501.109,-310512.563,41.834,65.496,2773.2,
2256,401603,25910.9,142.367582418,6037401603,1566.60254494,926,247184.672,-310040.969,41.395,65.653,1566.6,
2267,402200,24732.5,135.892857143,6037402200,1202.83389988,927,248503.406,-313166.969,41.834,64.611,1202.8,
2268,402301,23646.7,129.926923077,6037402301,4112.04105377,928,248089.906,-314684.438,41.697,64.105,4112.0,
2270,402304,23503.7,129.141208791,6037402304,5764.94327779,929,248505.828,-315359.938,41.835,63.88,5764.9,
2271,402402,21549.4,118.403296703,6037402402,1393.27302704,930,246449.656,-316307.719,41.15,63.564,1393.3,
2272,402403,19739.7,108.45989011,6037402403,2856.68846044,931,244270.141,-316748.781,40.423,63.417,2856.7,
2273,402404,19932.2,109.517582418,6037402404,472.76236376,932,243585.953,-316250.594,40.195,63.583,472.8,
2274,402405,21934.0,120.516483516,6037402405,3444.0189296,933,246017.75,-314854.688,41.006,64.048,3444.0,
2275,402406,22746.4,124.98021978,6037402406,4211.41255188,934,246941.656,-314834.906,41.314,64.055,4211.4,
2276,402501,23136.7,127.124725275,6037402501,5929.60295021,935,248661.359,-316166.875,41.887,63.611,5929.6,
2277,402502,22805.6,125.305494505,6037402502,5059.59852727,936,249043.859,-316873.125,42.015,63.376,5059.6,
2290,403200,19349.8,106.317582418,6037403200,163.697425604,937,244301.234,-317960.438,40.434,63.013,163.7,
2291,403303,17655.6,97.0087912088,6037403303,549.102350931,938,240399.906,-322055.469,39.133,61.648,549.1,
2292,403304,16717.2,91.8527472527,6037403304,1464.46896259,939,240736.422,-323646.781,39.245,61.118,1464.5,
2293,403305,16066.6,88.278021978,6037403305,1440.78728114,940,241299.188,-324751.0,39.433,60.75,1440.8,
2294,403312,18235.4,100.194505495,6037403312,758.294236743,941,242900.938,-320376.031,39.967,62.208,758.3,
2295,403316,19700.8,108.246153846,6037403316,2487.20633287,942,245626.094,-318734.563,40.875,62.755,2487.2,
2296,403317,20901.7,114.844505495,6037403317,1246.39388778,943,246935.359,-317915.844,41.312,63.028,1246.4,
