tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037650102,114531.0,731,Moderate Income,No,No,Yes,District 4,City of Torrance,SPA 8 - South Bay,7033,9047855.38769531,13415.4664523672
6037650200,138438.0,1812,Above Moderate Income,No,No,No,District 4,City of Torrance,SPA 8 - South Bay,7034,26302132.078125,30094.1222021843
6037650300,86212.0,2568,Low Income,Yes,No,Yes,District 4,City of Torrance,SPA 8 - South Bay,7035,20070562.5751953,20883.1366818792
6037650401,151923.0,1526,Above Moderate Income,No,No,No,District 4,City of Torrance,SPA 8 - South Bay,7036,37740902.5839844,32149.5131885755
6037650501,181154.0,942,Above Moderate Income,No,No,No,District 4,City of Torrance,SPA 8 - South Bay,7037,10713464.2353516,13520.403839682
6037650502,145369.0,1641,Above Moderate Income,No,No,No,District 4,City of Torrance,SPA 8 - South Bay,7038,14340477.3300781,15517.2277241226
6037650603,117019.0,1487,Moderate Income,No,No,Yes,District 4,City of Torrance,SPA 8 - South Bay,7039,13887143.4931641,15814.9253495632
6037650604,69448.0,2677,Low Income,Yes,Yes,Yes,District 4,City of Torrance,SPA 8 - South Bay,7040,5553365.63476562,9486.17365838977
6037650605,106719.0,996,Low Income,No,No,Yes,District 4,City of Torrance,SPA 8 - South Bay,7041,5244152.87402344,9208.94737892701
6037650606,84961.0,1671,Low Income,Yes,No,Yes,District 4,City of Torrance,SPA 8 - South Bay,7042,7914642.25390625,15980.3256233396
6037650607,99342.0,1104,Low Income,No,No,Yes,District 4,City of Torrance,SPA 8 - South Bay,7043,5327761.68164062,10950.859069444
6037650701,153750.0,976,Above Moderate Income,No,No,No,District 4,City of Torrance,SPA 8 - South Bay,7044,21585925.2207031,18653.4465311271
